game,item_name,picture,price
valorant,Altitude Odin,https://media.valorant-api.com/weaponskins/89be9866-4807-6235-2a95-499cd23828df/displayicon.png,0
valorant,Xenohunter Odin,https://media.valorant-api.com/weaponskins/94c085e6-48e1-c879-2552-88bf7850c5a8/displayicon.png,0
valorant,Tactiplay Odin,https://media.valorant-api.com/weaponskins/e02d6b2c-4e2e-a5f1-6bb8-38ac74485d7e/displayicon.png,0
valorant,Rune Stone Odin,https://media.valorant-api.com/weaponskins/abef8114-4495-6da7-2ade-02bd0f014fd3/displayicon.png,0
valorant,Comet Odin,https://media.valorant-api.com/weaponskins/ba2592f7-45c8-8d25-1442-83971f3d95dd/displayicon.png,0
valorant,Glitchpop Odin,https://media.valorant-api.com/weaponskins/97af88e4-4176-9fa3-4a26-57919443dab7/displayicon.png,0
valorant,Nitro Odin,,0
valorant,Topotek Odin,https://media.valorant-api.com/weaponskins/85c76090-4de5-3a3a-a763-f4a7b779e8ed/displayicon.png,0
valorant,.EXE Odin,https://media.valorant-api.com/weaponskins/cda41b87-4d3a-c17c-5f6d-8990cc9c5efb/displayicon.png,0
valorant,Neo Frontier Odin,https://media.valorant-api.com/weaponskins/bd647d56-4542-19cd-e1ed-4fb429c78cf9/displayicon.png,0
valorant,Prime//2.0 Odin,https://media.valorant-api.com/weaponskins/157bcebe-484d-82e2-2a60-c8b4b11197ea/displayicon.png,0
valorant,Prism III Odin,https://media.valorant-api.com/weaponskins/72e724e9-4ba4-2d12-ce1a-8db1a528b9d3/displayicon.png,0
valorant,Smite Odin,https://media.valorant-api.com/weaponskins/9e648b20-4ed5-1f34-87a9-979cbe9a958a/displayicon.png,0
valorant,Coalition: Cobra Odin,https://media.valorant-api.com/weaponskins/5c13101a-45e4-d568-aade-d6b0dadedcd1/displayicon.png,0
valorant,Lightwave Odin,https://media.valorant-api.com/weaponskins/57523cf0-4574-968b-9f17-168e3bdb6d0d/displayicon.png,0
valorant,Sensation Odin,https://media.valorant-api.com/weaponskins/65baa0cd-42ec-f99d-54a0-338d795b5824/displayicon.png,0
