game,item_name,picture,price,info
league,Justicar Aatrox,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_1.jpg,0,
league,Mecha Aatrox,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_2.jpg,0,
league,Sea Hunter Aatrox,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_3.jpg,0,
league,Blood Moon Aatrox,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_7.jpg,0,
league,Prestige Blood Moon Aatrox,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_8.jpg,0,
league,Victorious Aatrox,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_9.jpg,0,
league,Odyssey Aatrox,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_11.jpg,0,
league,Prestige Blood Moon Aatrox (2022),https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_20.jpg,0,
league,Lunar Eclipse Aatrox,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_21.jpg,0,
league,DRX Aatrox,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_30.jpg,0,
league,Prestige DRX Aatrox,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_31.jpg,0,
league,Primordian Aatrox,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_33.jpg,0,
league,Dynasty Ahri,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_1.jpg,0,
league,Midnight Ahri,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_2.jpg,0,
league,Foxfire Ahri,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_3.jpg,0,
league,Popstar Ahri,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_4.jpg,0,
league,Challenger Ahri,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_5.jpg,0,
league,Academy Ahri,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_6.jpg,0,
league,Arcade Ahri,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_7.jpg,0,
league,Star Guardian Ahri,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_14.jpg,0,
league,K/DA Ahri,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_15.jpg,0,
league,Prestige K/DA Ahri,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_16.jpg,0,
league,Elderwood Ahri,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_17.jpg,0,
league,Spirit Blossom Ahri,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_27.jpg,0,
league,K/DA ALL OUT Ahri,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_28.jpg,0,
league,Coven Ahri,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_42.jpg,0,
league,Prestige K/DA Ahri (2022),https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_65.jpg,0,
league,Arcana Ahri,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_66.jpg,0,
league,Snow Moon Ahri,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_76.jpg,0,
league,Risen Legend Ahri,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_85.jpg,0,
league,Immortalized Legend Ahri,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_86.jpg,0,
league,Stinger Akali,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akali_1.jpg,0,
league,Infernal Akali,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akali_2.jpg,0,
league,All-star Akali,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akali_3.jpg,0,
league,Nurse Akali,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akali_4.jpg,0,
league,Blood Moon Akali,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akali_5.jpg,0,
league,Silverfang Akali,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akali_6.jpg,0,
league,Headhunter Akali,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akali_7.jpg,0,
league,Sashimi Akali,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akali_8.jpg,0,
league,K/DA Akali,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akali_9.jpg,0,
league,Prestige K/DA Akali,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akali_13.jpg,0,
league,PROJECT: Akali,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akali_14.jpg,0,
league,True Damage Akali,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akali_15.jpg,0,
league,K/DA ALL OUT Akali,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akali_32.jpg,0,
league,Crime City Nightmare Akali,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akali_50.jpg,0,
league,Prestige K/DA Akali (2022),https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akali_60.jpg,0,
league,Star Guardian Akali,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akali_61.jpg,0,
league,DRX Akali,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akali_68.jpg,0,
league,Coven Akali,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akali_70.jpg,0,
league,Prestige Coven Akali,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akali_71.jpg,0,
league,Empyrean Akali,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akali_82.jpg,0,
league,Cyber Pop Akshan,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akshan_1.jpg,0,
league,Crystal Rose Akshan,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akshan_10.jpg,0,
league,Three Honors Akshan,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akshan_20.jpg,0,
league,Black Alistar,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Alistar_1.jpg,0,
league,Golden Alistar,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Alistar_2.jpg,0,
league,Matador Alistar,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Alistar_3.jpg,0,
league,Longhorn Alistar,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Alistar_4.jpg,0,
